"Keyword Phrase","ABA Total Click Share","ABA Total Conv. Share","Keyword Sales","Cerebro IQ Score","Search Volume","Search Volume Trend","Sponsored ASINs","Competing Products","CPR","Title Density","Organic","Sponsored Product","Amazon Recommended","Amazon Choice","Highly Rated","Sponsored Brand Header","Sponsored Brand Video","Top Rated From Our Brand","Trending Now","Amazon Rec. Rank","Sponsored Rank","Organic Rank"
"daflon 1000 mg compresse",41.9,40,5,17130,788,-45,1,46,11,0,1,0,1,0,0,0,0,0,0,45,"-",3
"primefarm circolazione",,,"-",15000,405,-55,25,27,8,0,1,0,0,0,0,0,0,0,0,"-","-",3
"integratore microcircolo",,,"-",223,205,-5,125,920,8,9,1,1,0,0,0,0,0,0,0,"-",32,4
"integratori per circolazione gambe",,,"-",54,18,-38,97,335,8,0,1,1,0,0,0,0,0,0,0,"-",24,4
"biovenum 500",,,"-",2844,91,86,20,32,8,0,1,1,1,0,0,0,0,0,0,87,8,4
"circolazione gambe integratore forte",,,"-","-",0,"-",60,340,8,0,1,1,0,0,0,0,0,0,0,"-",21,4
"integratore gambe circolazione",,,"-",959,419,-12,137,437,8,0,1,1,0,0,0,0,0,0,0,"-",3,4
"venoplant compresse",,,"-",3095,260,-32,48,84,8,0,1,1,0,0,0,0,0,0,0,"-",15,4
"pastiglie vene varicose",,,"-","-",0,"-",50,133,8,0,1,0,0,0,0,0,0,0,0,"-","-",4
"integratore per circolazione gambe",,,"-","-",0,"-",60,405,8,0,1,0,0,0,0,0,0,0,0,"-","-",4
"integratore capillari fragili",,,"-",2925,196,-30,52,67,8,0,1,1,0,0,0,0,0,0,0,"-",3,4
"venatropen plus",,,"-",9150,366,-40,23,40,8,2,1,0,0,0,0,0,0,0,0,"-","-",4
"addio vene varicose",,,"-",1752,233,-27,60,133,8,0,1,0,0,0,0,0,0,0,0,"-","-",4
"circolazione",,,"-",5,340,-20,165,70000,8,36,1,0,0,0,0,0,0,0,0,"-","-",5
"vene varicose",38.8,20,5,46,918,-55,313,20000,12,32,1,1,1,0,0,0,0,0,0,31,4,5
"gambe pesanti",36.7,,1,9,530,-31,178,60000,9,16,1,1,0,0,0,0,0,0,0,"-",10,5
"circolazione gambe integratore",,,"-",303,118,1,80,390,8,0,1,0,0,0,0,0,0,0,0,"-","-",5
"integratori gambe",,,"-","-",0,"-",101,2000,8,0,1,0,0,0,0,0,0,0,0,"-","-",5
"integratore emorroidi",,,"-",1673,276,-13,33,165,8,0,1,1,1,0,0,0,0,0,0,2,3,5
"integratori per cellulite",,,"-",20,60,22,101,3000,8,0,1,0,0,0,0,0,0,0,0,"-","-",5
"daflon 60 compresse",,,"-","-",0,"-",1,40,8,0,1,0,0,0,0,0,0,0,0,"-","-",5
"venatropen",,,"-",6972,251,-38,26,36,8,5,1,0,0,0,0,0,0,0,0,"-","-",5
"antistax 60 compresse",,,"-","-",0,"-",8,22,8,0,1,0,0,0,0,0,0,0,0,"-","-",5
"integratore per la circolazione",,,"-","-",0,"-",92,1000,8,4,1,1,0,0,0,0,0,0,0,"-",8,5
"integratore gambe pesanti",,,"-","-",0,"-",83,341,8,1,1,0,0,0,0,0,0,0,0,"-","-",5
"daflon 500 mg compresse",,,"-",780,39,21,1,50,8,0,1,0,0,0,0,0,0,0,0,"-","-",5
"venoruton 1000 30 bustine",,,"-",11650,233,14,26,20,8,0,1,0,0,0,0,0,0,0,0,"-","-",5
"venoxx compresse",,,"-","-",0,"-",19,74,8,0,1,1,0,0,0,0,0,0,0,"-",9,5
"vene varicose e capillari eliminare",54.8,20,5,4354,762,-32,123,175,11,0,1,1,1,0,0,0,0,0,0,30,10,5
"gambe gonfie circolazione drenante",,,"-",588,221,-21,89,376,8,0,1,0,1,0,0,0,0,0,0,59,"-",5
"venoruton 1000 30 bustine offerta",51.8,20,5,17306,1073,-31,41,62,26,0,1,1,1,0,0,0,0,0,0,49,4,5
"integratori per emorroidi",,,"-",607,88,-23,22,145,8,0,1,1,1,0,0,0,0,0,0,29,2,5
"lipedema gambe",27.2,,7,483,2413,-43,371,5000,27,0,1,1,0,0,0,0,0,0,0,"-",3,5
"diosmina 1000 mg",57,37.5,16,34338,2747,132,36,80,28,1,1,1,1,0,0,0,0,0,0,23,3,5
"rescue veno",,,"-",15619,328,"-",33,21,8,0,1,0,0,0,0,0,0,0,0,"-","-",5
"vesvein gambe 60",87.2,100,8,33286,699,-37,24,21,10,0,1,1,0,0,0,0,0,0,0,"-",8,5
"syrio ritenil gambe leggere",,,"-",9913,228,-18,17,23,8,0,1,0,0,0,0,0,0,0,0,"-","-",5
"daflon 1000",,,"-",5169,305,-40,13,59,8,0,1,0,0,0,0,0,0,0,0,"-","-",5
"integratore circolazione gambe",39.3,50,4,1338,499,-28,116,373,9,0,1,1,0,0,0,0,0,0,0,"-",16,6
"integratori emorroidi",,,"-","-",0,"-",19,124,8,0,1,0,0,0,0,0,0,0,0,"-","-",6
"gambe gonfie circolazione",,,"-","-",0,"-",96,2000,8,0,1,1,0,0,0,0,0,0,0,"-",6,6
"gambe pesanti e gonfie",,,"-",655,408,4,160,623,8,2,1,1,0,0,0,0,0,0,0,"-",9,6
"integratori microcircolo",,,"-",407,337,-5,123,829,8,0,1,1,0,0,0,0,0,0,0,"-",11,6
"prodotti per capillari gambe",,,"-","-",0,"-",46,403,8,0,1,1,0,0,0,0,0,0,0,"-",10,6
"venactum",,,"-",11081,410,2,37,37,8,0,1,0,1,0,0,0,0,0,0,52,"-",6
"daflon 500 compresse originale",51.2,50,4,22771,797,-38,30,35,11,0,1,0,1,0,0,0,0,0,0,18,"-",6
"emorroidi integratore",,,"-",598,67,57,19,112,8,0,1,1,0,0,0,0,0,0,0,"-",4,6
"integratori gambe pesanti e cellulite",,,"-",941,288,39,116,306,8,0,1,0,0,0,0,0,0,0,0,"-","-",6
"vesvein",,,"-",11724,340,-55,26,29,8,2,1,0,0,0,0,0,0,0,0,"-","-",6
"venatropen tc 600 compresse",,,"-",16600,332,-30,24,20,8,0,1,0,0,0,0,0,0,0,0,"-","-",6
"venalux",71.3,30,10,22325,1786,-50,119,80,30,11,1,0,1,0,0,0,0,0,0,57,"-",6
"venoplant",,,"-",6957,327,-27,61,47,8,4,1,1,0,0,0,0,0,0,0,"-",10,7
"venoruton compresse",46.9,33.3,3,5377,570,-31,76,106,9,0,1,1,1,0,0,0,0,0,0,28,8,7
"vene varicose uomo",,,"-","-",0,"-",100,20000,8,0,1,0,0,0,0,0,0,0,0,"-","-",7
"triade h",81.5,33.3,3,53211,1011,38,17,19,26,1,1,0,0,0,0,0,0,0,0,"-","-",7
"microcircolo gambe",,,"-",249,249,-53,119,1000,8,4,1,0,0,0,0,0,0,0,0,"-","-",7
"crema capillari rotti gambe",52.8,50,2,2903,659,-55,165,227,10,0,1,1,0,0,0,0,0,0,0,"-",6,7
"daflon 500 mg",,,2,6053,345,-20,4,57,8,0,1,0,0,0,0,0,0,0,0,"-","-",7
"venaflux",63.1,71.4,14,21879,1269,-39,76,58,27,5,1,1,1,0,0,0,0,0,0,35,18,7
"microcircolo integratori",,,"-",91,79,-18,85,870,8,0,1,0,0,0,0,0,0,0,0,"-","-",7
"integratore alimentare per circolazione gambe",,,"-",1178,291,-21,96,247,8,0,1,1,1,0,0,0,0,0,0,38,16,7
"crioven compresse",,,"-","-",0,"-",18,47,8,0,1,0,0,0,0,0,0,0,0,"-","-",7
"hamolind",,,"-",15133,227,-17,12,15,8,0,1,0,0,0,0,0,0,0,0,"-","-",7
"diosmina esperidina 1000",,,"-",644,47,-7,32,73,8,0,1,1,1,0,0,0,0,0,0,60,10,7
"integratore gambe gonfie e pesanti",,,5,1522,423,-28,136,278,8,3,1,0,1,0,0,0,0,0,0,44,"-",7
"diosmina esperidina alto dosaggio",57.4,46.7,45,25527,3344,-20,52,131,30,7,1,1,1,0,0,0,0,0,0,3,8,7
"flebinec plus 14 bustine gambe",,,"-",9971,349,18,22,35,8,0,1,1,0,0,0,0,0,0,0,"-",2,7
"circolazione sanguigna",,,"-","-",0,"-",89,50000,8,10,1,1,0,0,0,0,0,0,0,"-",1,8
"diosmina",39.6,31.5,92,51439,8899,-25,87,173,49,44,1,1,1,0,0,0,0,0,0,16,8,8
"meliloto integratore",,,"-",1680,247,-12,69,147,8,0,1,0,0,0,0,0,0,0,0,"-","-",8
"flavonoidi emorroidi",,,"-","-",0,"-",17,388,8,0,1,0,0,0,0,0,0,0,0,"-","-",8
"emorroidi integratori",,,"-",1105,211,8,26,191,8,0,1,0,1,0,0,0,0,0,0,12,"-",8
"nedemax compresse",,,"-",5543,194,-30,4,35,8,0,1,0,0,0,0,0,0,0,0,"-","-",8
"cura vene varicose",,,"-","-",0,"-",84,432,8,0,1,0,0,0,0,0,0,0,0,"-","-",8
"bioflavonoidi emorroidi",,,"-","-",0,"-",26,227,8,0,1,0,0,0,0,0,0,0,0,"-","-",8
"emorroidi compresse",,,"-",780,78,-15,35,100,8,0,1,1,1,0,0,0,0,0,0,14,5,8
"drenante gambe gonfie",,,"-",335,209,-36,120,624,8,3,1,0,0,0,0,0,0,0,0,"-","-",8
"venavin erbenobili gocce",,,"-",15000,315,-3,18,21,8,0,1,1,0,0,0,0,0,0,0,"-",1,8
"elimina vene varicose",,,"-",726,122,-33,64,168,8,0,1,0,0,0,0,0,0,0,0,"-","-",8
"cardione pulizia vene",,,"-","-",0,"-",8,233,8,0,1,0,0,0,0,0,0,0,0,"-","-",8
"varicolift vene varicose e capillari crema",,,"-",2170,395,-38,65,182,8,0,1,0,0,0,0,0,0,0,0,"-","-",8
"diosmina esperidina 1000 mg",,,"-",5173,388,7,36,75,8,0,1,1,0,0,0,0,0,0,0,"-",2,8
"venexan plus",,,"-",14556,393,7,0,27,8,1,1,0,0,0,0,0,0,0,0,"-","-",8
"wesalys diosmina esperidina",,,"-",10941,372,-32,18,34,8,0,1,1,0,0,0,0,0,0,0,"-",4,8
"arvenum 500",,,8,8238,346,-42,42,42,8,0,1,0,1,0,0,0,0,0,0,27,"-",9
"arvenum",,,"-",5525,337,-53,51,61,8,0,1,0,0,0,0,0,0,0,0,"-","-",9
"gambe gonfie",31.6,,2,68,682,-49,249,10000,10,4,1,0,0,0,0,0,0,0,0,"-","-",9
"fortilase",88.9,79.6,49,88022,8098,-29,142,92,36,7,1,0,0,0,0,0,0,0,0,"-","-",9
"gambe gonfie e pesanti",,,"-",457,300,-31,129,657,8,10,1,1,0,0,0,0,0,0,0,"-",2,9
"riposa gambe",,,"-",1,27,2,103,40000,8,1,1,0,0,0,0,0,0,0,0,"-","-",9
"esperidina",60,50,2,2791,441,-3,49,158,8,46,1,1,1,0,0,0,0,0,0,21,2,9
"hesperidin",,,"-",6053,115,-19,8,19,8,0,1,0,0,0,0,0,0,0,0,"-","-",9
"integratore circolazione sanguigna",,,"-","-",0,"-",55,447,8,0,1,0,0,0,0,0,0,0,0,"-","-",9
"varikostan crema vene varicose",,,"-",3347,328,13,62,98,8,0,1,0,0,0,0,0,0,0,0,"-","-",9
