"Keyword Phrase","ABA Total Click Share","ABA Total Conv. Share","Keyword Sales","Cerebro IQ Score","Search Volume","Search Volume Trend","Sponsored ASINs","Competing Products","CPR","Title Density","Organic","Sponsored Product","Amazon Recommended","Amazon Choice","Highly Rated","Sponsored Brand Header","Sponsored Brand Video","Top Rated From Our Brand","Trending Now","Amazon Rec. Rank","Sponsored Rank","Organic Rank"
"flebonorm 60 compresse",,,"-",7079,269,-34,21,38,8,0,1,0,0,0,0,0,0,0,0,"-","-",9
"venoruton compresse",46.9,33.3,3,5377,570,-31,76,106,9,0,1,0,1,0,0,0,0,0,0,39,"-",10
"daflon 500 mg",,,2,6053,345,-20,4,57,8,0,1,0,0,0,0,0,0,0,0,"-","-",10
"venoxx",96,83.3,6,6682,441,-32,54,66,8,0,1,0,0,0,0,0,0,0,0,"-","-",10
"venosten",,,"-",5362,370,-32,44,69,8,2,1,0,0,0,0,0,0,0,0,"-","-",10
"flavonoidi emorroidi",,,"-","-",0,"-",17,388,8,0,1,0,0,0,0,0,0,0,0,"-","-",11
"daflon 500 compresse originale",51.2,50,4,22771,797,-38,30,35,11,0,1,0,1,0,0,0,0,0,0,36,"-",11
"vigralis",,,"-",10763,409,30,24,38,8,0,1,0,0,0,0,0,0,0,0,"-","-",11
"nutrimea complesso circolazione",,,"-",9263,176,13,12,19,8,0,1,0,0,0,0,0,0,0,0,"-","-",11
"varici",,,"-","-",0,"-",98,20000,8,3,1,0,0,0,0,0,0,0,0,"-","-",12
"integratore microcircolo",,,"-",223,205,-5,125,920,8,9,1,1,0,0,0,0,0,0,0,"-",6,12
"integratore per la circolazione",,,"-","-",0,"-",92,1000,8,4,1,1,0,0,0,0,0,0,0,"-",37,12
"integratore spermidina",,,"-",645,60,2,25,93,8,2,1,0,0,0,0,0,0,0,0,"-","-",12
"microcircolo",36.1,28.6,14,235,1176,-34,159,5000,38,40,1,0,0,0,0,0,0,0,0,"-","-",13
"integratore circolazione sanguigna",,,"-","-",0,"-",55,447,8,0,1,0,0,0,0,0,0,0,0,"-","-",13
"ultraven forte",,,"-","-",0,"-",9,19,8,1,1,0,0,0,0,0,0,0,0,"-","-",13
"integratore di spermidina",,,"-",456,31,51,35,68,8,4,1,0,0,0,0,0,0,0,0,"-","-",13
"cumadren crono 30 compresse",,,"-",24923,324,-20,23,13,8,0,1,0,0,0,0,0,0,0,0,"-","-",13
"arvenum",,,"-",5525,337,-53,51,61,8,0,1,0,0,0,0,0,0,0,0,"-","-",14
"circolazione",,,"-",5,340,-20,165,70000,8,36,1,0,0,0,0,0,0,0,0,"-","-",14
"polifenoli integratori",,,"-",369,307,1,139,831,8,0,1,0,0,0,0,0,0,0,0,"-","-",14
"daflon 500 30 compresse",,,"-",4174,96,43,7,23,8,0,1,0,0,0,0,0,0,0,0,"-","-",14
"venoruton",37,16.7,6,6785,1011,-22,99,149,25,0,1,0,1,0,0,0,0,0,0,32,"-",15
"integratori microcircolo",,,"-",407,337,-5,123,829,8,0,1,1,0,0,0,0,0,0,0,"-",1,15
"diosmectal",85.1,84.6,13,44650,1786,-17,19,40,27,2,1,1,0,0,0,0,0,0,0,"-",4,15
"circolazione gambe integratore",,,"-",303,118,1,80,390,8,0,1,1,0,0,0,0,0,0,0,"-",10,16
"aqua balance",,,"-",3559,242,-6,49,68,8,19,1,0,0,0,0,0,0,0,0,"-","-",16
"spermidina integratore",,,"-",2637,298,4,33,113,8,3,1,1,0,0,0,0,0,0,0,"-",20,16
"triade h 20 bustine emorroidi",,,"-",8950,179,-41,20,20,8,0,1,0,0,0,0,0,0,0,0,"-","-",16
"venovigor",,,"-",11429,400,14,24,35,8,1,1,0,0,0,0,0,0,0,0,"-","-",16
"capillari",,,"-","-",0,"-",115,50000,8,29,1,0,0,0,0,0,0,0,0,"-","-",17
"integratori per vene",,,"-","-",0,"-",59,287,8,1,1,0,0,0,0,0,0,0,0,"-","-",17
"dinaven 500",81.8,69,29,47447,1803,-1,33,38,27,2,1,0,1,0,0,0,0,0,0,3,"-",17
"integratori per vene varicose capillari e microcircolo",,,1,1005,222,-51,112,221,8,1,1,1,0,0,0,0,0,0,0,"-",5,17
"kimea k53 advance",81.8,65.7,35,195882,3330,16,5,17,28,0,1,0,0,0,0,0,0,0,0,"-","-",17
"integratori gambe pesanti e cellulite",,,"-",941,288,39,116,306,8,0,1,0,0,0,0,0,0,0,0,"-","-",17
"bromelina e diosmina",,,"-",1413,325,4,92,230,8,0,1,1,1,0,0,0,0,0,0,17,30,17
"daflon 1000 mg compresse",41.9,40,5,17130,788,-45,1,46,11,0,1,0,0,0,0,0,0,0,0,"-","-",17
"bromelina forte vitaminpure",97.4,100,"-","-",704,"-",0,0,10,0,1,0,0,0,0,0,0,0,0,"-","-",17
"nedemax",,,"-",4683,192,-31,8,41,8,2,1,0,0,0,0,0,0,0,0,"-","-",18
"omniven",,,"-",8893,249,-49,29,28,8,6,1,0,0,0,0,0,0,0,0,"-","-",18
"circolazione venosa",,,"-","-",0,"-",115,293,8,13,1,1,0,0,0,0,0,0,0,"-",22,18
"integratori vene gambe",,,"-","-",0,"-",52,259,8,0,1,0,0,0,0,0,0,0,0,"-","-",18
"plaquenil farmaco",,,"-","-",0,"-",6,3000,8,0,1,0,0,0,0,0,0,0,0,"-","-",18
"darunavir farmaco",,,"-","-",0,"-",3,354,8,0,1,0,0,0,0,0,0,0,0,"-","-",18
"zeflavon drena",,,"-",609,14,-14,20,23,8,0,1,0,0,0,0,0,0,0,0,"-","-",18
"dinaven 500 120 compresse",,,"-",1957,45,-38,12,23,8,0,1,0,0,0,0,0,0,0,0,"-","-",18
"venosmix",,,"-",6229,218,-13,24,35,8,1,1,0,0,0,0,0,0,0,0,"-","-",18
"bromelina vitaminpure",99,90.9,11,20019,2142,112,61,107,27,0,1,1,0,0,0,0,0,0,0,"-",3,18
